"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72","Should get comment by postId","","Wed Sep 10 16:59:22 GMT 2025","passed","Wed Sep 10 16:59:22 GMT 2025","","tests.PlaceholderTest","tests.PlaceholderTest","Should get comment by postId"
"","5443","Should create post","","Wed Sep 10 16:59:16 GMT 2025","passed","Wed Sep 10 16:59:22 GMT 2025","","tests.PlaceholderTest","tests.PlaceholderTest","Should create post"
"","234","Should get all posts","","Wed Sep 10 16:59:22 GMT 2025","passed","Wed Sep 10 16:59:22 GMT 2025","","tests.PlaceholderTest","tests.PlaceholderTest","Should get all posts"
"","118","Should get posts by id","","Wed Sep 10 16:59:22 GMT 2025","passed","Wed Sep 10 16:59:22 GMT 2025","","tests.PlaceholderTest","tests.PlaceholderTest","Should get posts by id"
"","64","should get post comment by id","","Wed Sep 10 16:59:22 GMT 2025","passed","Wed Sep 10 16:59:22 GMT 2025","","tests.PlaceholderTest","tests.PlaceholderTest","should get post comment by id"
