"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","495","Should get comment by postId","","Wed Sep 10 16:47:45 GMT 2025","passed","Wed Sep 10 16:47:46 GMT 2025","","tests.PlaceholderTest","tests.PlaceholderTest","Should get comment by postId"
"","554","Should get posts by id","","Wed Sep 10 16:47:45 GMT 2025","passed","Wed Sep 10 16:47:45 GMT 2025","","tests.PlaceholderTest","tests.PlaceholderTest","Should get posts by id"
"","270","should get post comment by id","","Wed Sep 10 16:47:45 GMT 2025","passed","Wed Sep 10 16:47:45 GMT 2025","","tests.PlaceholderTest","tests.PlaceholderTest","should get post comment by id"
"","5269","Should create post","","Wed Sep 10 16:47:39 GMT 2025","passed","Wed Sep 10 16:47:44 GMT 2025","","tests.PlaceholderTest","tests.PlaceholderTest","Should create post"
"","619","Should get all posts","","Wed Sep 10 16:47:44 GMT 2025","passed","Wed Sep 10 16:47:45 GMT 2025","","tests.PlaceholderTest","tests.PlaceholderTest","Should get all posts"
