"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","235","Should get all posts","","Wed Sep 10 17:01:35 GMT 2025","passed","Wed Sep 10 17:01:35 GMT 2025","","tests.PlaceholderTest","tests.PlaceholderTest","Should get all posts"
"","5061","Should create post","","Wed Sep 10 17:01:30 GMT 2025","passed","Wed Sep 10 17:01:35 GMT 2025","","tests.PlaceholderTest","tests.PlaceholderTest","Should create post"
"","99","should get post comment by id","","Wed Sep 10 17:01:35 GMT 2025","passed","Wed Sep 10 17:01:36 GMT 2025","","tests.PlaceholderTest","tests.PlaceholderTest","should get post comment by id"
"","91","Should get comment by postId","","Wed Sep 10 17:01:36 GMT 2025","passed","Wed Sep 10 17:01:36 GMT 2025","","tests.PlaceholderTest","tests.PlaceholderTest","Should get comment by postId"
"","152","Should get posts by id","","Wed Sep 10 17:01:35 GMT 2025","passed","Wed Sep 10 17:01:35 GMT 2025","","tests.PlaceholderTest","tests.PlaceholderTest","Should get posts by id"
